DatasetID,FileName,PID,URL,タイトル,巻次,シリーズ,版表示,著者,出版者,出版年,出版年(W3CDTF),ISBN,冊数（ページ数・大きさ）,NDC分類,NDC分類（第８版）,NDC分類（第９版）,NDLC分類,件名（NDLSH）,公開範囲
1930,1458900.xml,1458900,https://dl.ndl.go.jp/info:ndljp/pid/1458900,実業国文教科書 : 教授備考 修正再版用,巻6,,,光風館編輯所 編,光風館書店,昭和14,1939,,398p ; 21cm,375.8,,,,,インターネット公開（保護期間満了）
1930,1461530.xml,1461530,https://dl.ndl.go.jp/info:ndljp/pid/1461530,アチックミユーゼアム彙報,第41,,,,アチックミューゼアム,昭14,1939,,98p ; 23cm,382.1,,,,,インターネット公開（保護期間満了）
1930,1461972.xml,1461972,https://dl.ndl.go.jp/info:ndljp/pid/1461972,組合雑貨の基礎知識,,,,全国購買組合聯合会 編,全国購買組合聯合会,昭13,1938,,551p ; 23cm,335.6,,,,,インターネット公開（保護期間満了）
1930,1462100.xml,1462100,https://dl.ndl.go.jp/info:ndljp/pid/1462100,康徳五年度予算の話,,,,満洲国通信社 編,満洲国通信社,康徳5,1938,,67p ; 19cm,344,,,,,インターネット公開（保護期間満了）
1930,1462365.xml,1462365,https://dl.ndl.go.jp/info:ndljp/pid/1462365,司法資料,第233号,,,,司法省調査部,昭和12,1937,,155p ; 22cm,320,,,,,インターネット公開（保護期間満了）
1930,1462369.xml,1462369,https://dl.ndl.go.jp/info:ndljp/pid/1462369,最新官費貸費学校入学案内,,,,受験研究社編輯部 編,白永社,昭和6,1931,,116p ; 18cm,376.8,,,,,インターネット公開（保護期間満了）
1930,1462547.xml,1462547,https://dl.ndl.go.jp/info:ndljp/pid/1462547,秋官志,,,,朝鮮総督府中枢院 編,朝鮮総督府中枢院,昭14,1939,,979p ; 23cm,322,,,,,インターネット公開（保護期間満了）
1930,1462618.xml,1462618,https://dl.ndl.go.jp/info:ndljp/pid/1462618,児童心理学,,,,青木誠四郎 著,賢文館,昭11,1936,,"416, 10p ; 22cm",371,,,,,インターネット公開（保護期間満了）
1930,1462660.xml,1462660,https://dl.ndl.go.jp/info:ndljp/pid/1462660,新要目に基く尋五・六体育の原理と実際,,,,斎藤薫雄 著,明治図書,昭12,1937,,311p ; 19cm,375.49,,,,,インターネット公開（保護期間満了）
1930,1462661.xml,1462661,https://dl.ndl.go.jp/info:ndljp/pid/1462661,新要目に基く高一・二体育の原理と実際,,,,斎藤薫雄 著,明治図書,昭13,1938,,314p ; 19cm,375.49,,,,,インターネット公開（保護期間満了）
1930,1462786.xml,1462786,https://dl.ndl.go.jp/info:ndljp/pid/1462786,全国社会事業名鑑,昭和12年版,,,中央社会事業協会社会事業研究所 編,中央社会事業協会社会事業研究所,昭12,1937,,"141, 1259, 150p ; 23cm",369,,,,,インターネット公開（保護期間満了）
1930,1463135.xml,1463135,https://dl.ndl.go.jp/info:ndljp/pid/1463135,東京朝日新聞の社会事業,,,,東京朝日新聞社会事業団 編,東京朝日新聞社会事業団,昭12,1937,,50p ; 20cm,369,,,,,インターネット公開（保護期間満了）
1930,1463783.xml,1463783,https://dl.ndl.go.jp/info:ndljp/pid/1463783,民法英訳稿本,第４,,,法典英訳委員会 編,日本国際協会,昭和14,1939,,,324,,,,,インターネット公開（保護期間満了）
1930,1464371.xml,1464371,https://dl.ndl.go.jp/info:ndljp/pid/1464371,軍縮に目醒る : ロンドン軍縮会議の真相,,,,石丸藤太 著,万里閣書房,昭和5,1930,,397p ; 19cm,391,,,,,インターネット公開（保護期間満了）
1930,1464652.xml,1464652,https://dl.ndl.go.jp/info:ndljp/pid/1464652,国語教育科学 : 独立講座,第7巻 (国語解釈学概説),,,垣内松三 著,文学社,昭和9,1934,,300p ; 23cm,375.8,,,,,インターネット公開（保護期間満了）
1930,1464837.xml,1464837,https://dl.ndl.go.jp/info:ndljp/pid/1464837,大阪府の産業組合一斑,,,,産業組合中央会大阪支会 編,産業組合中央会大阪支会,昭和7,1932,,168p ; 22cm,335.6,,,,,インターネット公開（保護期間満了）
1930,1464949.xml,1464949,https://dl.ndl.go.jp/info:ndljp/pid/1464949,衆議院委員会先例彙纂,昭和５年４月改訂,,,衆議院事務局 編,衆議院事務局,昭和5,1930,,,314,,,BZ-2,,インターネット公開（保護期間満了）
1930,1465570.xml,1465570,https://dl.ndl.go.jp/info:ndljp/pid/1465570,選挙法改正及政党政治論,,,,斎藤隆夫 著,民政社,昭和8,1933,,91p ; 23cm,314,,,,,インターネット公開（保護期間満了）
